"Time [ms]","Moving1.Torque [NewtonMeter]"
3.74275,-0.171166748070387
3.77565,-0.170663966180049
3.77615,-0.170638458159517
3.77665,-0.170815444241607
3.82665,-0.192298347161708
3.87665,-0.218876345920794
3.92665000000001,-0.222777950600992
3.97665000000001,-0.211416566902542
4.02665,-0.194330724463788
4.07665,-0.160510975064586
4.12665,-0.116583683779976
4.17665,-0.0649021507685415
4.22665,-0.00521266952002953
4.27665,0.061676054332983
4.32665,0.133857014095999
4.37665,0.207970510674753
4.42665,0.286174913243822
4.47665,0.369388410581496
4.52665,0.438488769052849
4.57665,0.503663431169957
4.62665,0.592587724297495
4.67665,0.679117216563093
4.72665,0.765132220421404
4.77665,0.856690777640221
4.82665,0.94442597132032
4.87665,1.04088871839428
4.92665,1.13749841902913
4.95035,1.18120154114267
4.95085,1.18194010228494
4.95135,1.17976114731954
5.00135,0.987670545579142
5.03425,0.888677395912635
5.03475,0.887140074791953
5.03525,0.885750446404485
5.08525,0.758416358510534
5.13525,0.63449798016467
5.18525,0.546908164981899
5.23525,0.487183301767285
5.28525,0.452567031486451
5.33525,0.456771181533116
5.38525,0.506462912530978
5.43524999999999,0.596939523265443
5.48524999999999,0.738967476370947
5.53524999999999,0.911721977595092
5.58524999999999,1.13379577609841
5.63524999999999,1.3519120352252
5.68524999999999,1.620098992997
5.73524999999999,1.89440919839951
5.78524999999999,2.21462684374725
5.83524999999999,2.50305478214274
5.88524999999999,2.79557313836782
5.93524999999999,3.07176226698751
5.98524999999999,3.3162102893269
6.03524999999999,3.55880445271675
6.08524999999999,3.78039769926048
6.13524999999999,4.03068787320873
6.18524999999999,4.244335882076
6.20889999999999,4.345290805458
6.20939999999999,4.34755493763743
6.20989999999999,4.339962713341
6.25989999999999,3.63084579785997
6.29279999999999,3.20653223535257
6.29329999999999,3.20042706372203
6.29379999999999,3.19431467176809
6.34379999999999,2.63401695318448
6.39379999999999,2.1231460644981
6.44379999999999,1.69689268684123
6.49379999999999,1.33606918775041
6.54379999999999,1.02442365203996
6.59379999999999,0.769247979128534
6.64379999999999,0.579140112292192
6.69379999999999,0.420601947197081
6.74379999999999,0.294481690531112
6.79379999999999,0.208263281435731
6.84379999999999,0.143729744604645
6.89379999999998,0.104679957565749
6.94379999999998,0.0742084519261392
6.99379999999998,0.0788939450466611
7.04379999999998,0.0793073667325011
7.09379999999998,0.0804662958357231
7.14379999999998,0.0979769251587776
7.19379999999998,0.0958428681206076
7.24379999999998,0.0717079359848528
7.29379999999998,0.0470515673873904
7.34379999999998,0.000306103626860424
7.39379999999998,-0.0475107312811059
7.44379999999998,-0.0960683985085542
7.46744999999998,-0.138158615528474
7.46794999999998,-0.139110773291018
7.46844999999998,-0.139768530230388
7.51844999999998,-0.178515487272915
7.55134999999998,-0.182308623068344
7.55184999999998,-0.182466007308163
7.55234999999998,-0.182830406899422
7.60234999999998,-0.201511698446877
7.65234999999998,-0.237583342369501
7.70234999999998,-0.241743466532931
7.75234999999998,-0.228097934078085
7.80234999999998,-0.213206571907275
7.85234999999998,-0.179109416547619
7.90234999999998,-0.135123128837424
7.95234999999998,-0.0823843810517733
8.00234999999998,-0.021233056375782
8.05234999999998,0.0463728564436464
8.10234999999998,0.120622006413534
8.15234999999997,0.194438700637116
8.20234999999997,0.273003913769142
8.25234999999997,0.364573514126913
8.30234999999997,0.433662058447861
8.35234999999997,0.506734458565104
8.40234999999997,0.58901471908041
8.45234999999997,0.674884210480728
8.50234999999997,0.761448864181762
8.55234999999997,0.851389456786739
8.60234999999997,0.92568139930826
8.65234999999997,1.03969535973999
8.70234999999997,1.13857768957969
8.72599999999997,1.1762737988436
8.72649999999997,1.17720308618254
8.72699999999997,1.17525505268849
8.77699999999997,0.983747076143408
8.80994999999997,0.884038940844705
8.81044999999997,0.882572626493809
8.81094999999997,0.881250603037444
8.86094999999997,0.753811441345877
8.91094999999997,0.631605304773512
8.96094999999997,0.545892897903646
9.01094999999997,0.484365560632077
9.06094999999997,0.45160481624265
9.11094999999997,0.457651055819563
9.16094999999997,0.50726746355558
9.21094999999997,0.596957778296751
9.26094999999997,0.733626210226832
9.31094999999997,0.919049241479592
9.36094999999997,1.13298067939895
9.41094999999997,1.35793966741426
9.46094999999997,1.62484375578953
9.51094999999997,1.90576463771851
9.56094999999997,2.21486018075987
9.61094999999997,2.50300717271534
9.66094999999997,2.80242766038217
9.71094999999997,3.07622881978434
9.76094999999997,3.31947289383343
9.81094999999997,3.5640932129421
9.86094999999997,3.79517092994247
9.91094999999997,4.03869714872157
9.96094999999997,4.24866877716667
9.98459999999997,4.34646650567029
9.98509999999997,4.34896401676863
9.98559999999997,4.34154558528081
10,4.12822379723108
